,Record Type,Make,Body Type,Registration Class
815,VEH,ACURA,sedan,403
816,TRL,SLEDB,trailer,401
817,TRL,ROGER,trailer,398
818,TRL,STEAL,trailer,397
819,TRL,COYOT,trailer,397
820,TRL,SOUTH,trailer,396
822,TRL,BRAVO,trailer,395
823,VEH,MERCU,convertible,394
824,VEH,GEO,sedan,394
825,VEH,CHEVY,3-door,392
826,TRL,CONTI,trailer,390
827,TRL,OTHER,trailer,389
828,TRL,POLAR,trailer,387
829,VEH,FLEET,trailer,387
830,VEH,AMERI,3-door,387
832,TRL,SPORT,trailer,381
833,TRL,NOMAN,trailer,380
835,TRL,SE/LI,trailer,378
837,VEH,KENWO,snow plow,375
838,VEH,HUDSO,trailer,375
839,VEH,GRADA,snow plow,374
840,VEH,FREIG,snow plow,373
841,VEH,LAMBO,3-door,372
842,TRL,HAWK,trailer,371
843,TRL,RPOD,trailer,371
845,TRL,MUSTA,trailer,370
846,TRL,INTER,big truck,369
847,VEH,PETER,tow truck / wrecker,368
848,VEH,WILLY,station wagon/sport utility vehicle,368
850,VEH,CADIL,truck,364
851,TRL,TRACK,trailer,364
852,VEH,SPRIN,van,363
853,TRL,LOADR,trailer,360
854,TRL,PJTRA,trailer,359
855,TRL,TRACE,trailer,358
857,TRL,LONGC,trailer,358
859,TRL,SN/PR,trailer,357
860,VEH,FREIG,big truck,356
862,TRL,BRENN,trailer,355
863,TRL,NORDI,trailer,355
864,TRL,ROADC,trailer,354
865,TRL,KENTU,trailer,354
867,TRL,TR/SP,trailer,353
868,TRL,SEALI,trailer,351
870,VEH,CR/CO,trailer,351
871,VEH,TEXTR,multi-wheeled vehicle,350
873,VEH,SU/TR,trailer,350
874,VEH,INTER,lift boom,349
876,VEH,TOYOT,van,348
877,VEH,UD,truck,348
878,VEH,TESLA,sedan,347
879,TRL,MSA,trailer,346
880,VEH,STERL,station wagon/sport utility vehicle,345
881,TRL,ATC,trailer,345
882,VEH,FELLI,trailer,344
883,TRL,MI/AT,trailer,344
884,TRL,FEATH,trailer,343
885,TRL,PARKE,trailer,343
886,VEH,SAAB,3-door,342
887,VEH,KENWO,tow truck / wrecker,342
888,VEH,AL/RO,3-door,341
889,VEH,STERL,big truck,340
890,VEH,KIA,sedan,340
891,TRL,WH/HA,trailer,340
892,TRL,RICE,trailer,339
893,VEH,KENWO,truck,338
894,VEH,ISUZU,truck,338
895,VEH,MGB,convertible,337
896,VEH,JO/DE,tractor,336
897,TRL,GATOR,trailer,336
898,TRL,GLAST,trailer,336
