Record Type,Make,Body Type,Registration Class
VEH,INTER,VAN,4164
VEH,MACK,TRAC,4151
VEH,DODGE,VAN,4132
BOAT,GR/WH,BOAT,4120
BOAT,GLAST,BOAT,4116
VEH,CA/AM,ATV,4101
VEH,VOLVO,TRAC,4067
VEH,FORD,FLAT,4061
TRL,QUALI,TRLR,4046
VEH,OLDSM,4DSD,4035
VEH,VESPA,MCY,4023
VEH,FORD,BUS,3982
VEH,TOYOT,TAXI,3925
BOAT,BENNI,BOAT,3885
VEH,BUICK,2DSD,3817
TRL,SNOWB,LTRL,3808
VEH,TOYOT,CONV,3769
TRL,CA/MA,TRLR,3716
VEH,FREIG,DUMP,3664
TRL,LO/RI,TRLR,3586
VEH,KENWO,DUMP,3576
VEH,PLYMO,2DSD,3491
VEH,OLDSM,2DSD,3480
VEH,INDIA,MCY,3467
VEH,CHEVR,UTIL,3421
BOAT,ST/CR,BOAT,3392
BOAT,LOWE,BOAT,3383
BOAT,ALUMA,BOAT,3372
VEH,HINO,DELV,3358
VEH,FORD,STAK,3318
VEH,CFMOT,ATV,3306
BOAT,WELLC,BOAT,3258
VEH,MINI,4DSD,3247
VEH,CANAM,MCY,3223
TRL,VENTU,TRLR,3199
VEH,INTER,DELV,3154
TRL,HOMEM,TRLR,3138
VEH,SMART,2DSD,3138
BOAT,SYLVA,BOAT,3134
VEH,PETER,DUMP,3124
TRL,CH/NA,LTRL,3120
VEH,KTM,MCY,3105
VEH,PORSC,4DSD,3087
BOAT,STING,BOAT,3025
VEH,AL/RO,4DSD,3013
VEH,INTER,FLAT,2958
VEH,FORD,DELV,2915
TRL,SU/TR,LTRL,2903
VEH,MITSU,2DSD,2888
TRL,ESCOR,LTRL,2872
TRL,WABAS,SEMI,2809
VEH,GMC,UTIL,2773
VEH,GENES,4DSD,2738
VEH,HINO,VAN,2729
BOAT,LARSO,BOAT,2727
VEH,JAGUA,CONV,2701
BOAT,SEADO,BOAT,2684
TRL,JA/FL,H/TR,2680
TRL,KAUFM,TRLR,2672
BOAT,COBAL,BOAT,2614
VEH,MASER,4DSD,2606
VEH,SAAB,CONV,2600
BOAT,RINKE,BOAT,2583
VEH,VICTO,MCY,2581
BOAT,POLAR,BOAT,2571
VEH,MG,CONV,2546
BOAT,SWEET,BOAT,2535
BOAT,REGAL,BOAT,2480
TRL,ALUMA,LTRL,2420
TRL,UTILI,SEMI,2382
VEH,FIAT,SUBN,2377
TRL,ROCKW,H/TR,2373
VEH,CATER,P/SH,2367
VEH,WINNE,H/WH,2361
BOAT,CH/CR,BOAT,2312
TRL,BLIZZ,LTRL,2289
VEH,ORION,BUS,2278
VEH,NE/FL,BUS,2272
SNOW,BOMBA,SNOW,2255
TRL,UNITE,TRLR,2236
VEH,HINO,REFG,2230
BOAT,MAXUM,BOAT,2201
BOAT,SU/TR,BOAT,2200
TRL,OTHER,TRLR,2167
TRL,CR/CO,TRLR,2137
BOAT,SM/CR,BOAT,2126
TRL,MAC,SEMI,2122
VEH,FIAT,CONV,2120
BOAT,BL/FI,BOAT,2102
BOAT,BA/TR,BOAT,2088
VEH,FORD,H/WH,2046
VEH,RAM,UTIL,2045
TRL,SPRIN,H/TR,2025
VEH,INTER,TANK,2007
TRL,TRAIL,TRLR,2005
TRL,PJ,TRLR,1999
TRL,PACE,TRLR,1984
VEH,FORD,TOW,1980
TRL,WE/CA,TRLR,1970
TRL,CA/MA,LTRL,1964
TRL,CR/CO,LTRL,1953
TRL,LO/CH,LTRL,1950
TRL,EAGLE,LTRL,1935
BOAT,CROWN,BOAT,1932
TRL,INTER,TRLR,1924
TRL,COLEM,TRLR,1919
BOAT,SEARS,BOAT,1916
TRL,JAYCO,H/TR,1913
TRL,HOMEM,UTIL,1892
TRL,CHERO,H/TR,1843
VEH,CASE,P/SH,1830
VEH,JEEP,4DSD,1829
TRL,LO/TR,TRLR,1808
TRL,JAYFL,H/TR,1807
VEH,LEXUS,2DSD,1805
VEH,CADIL,CONV,1789
VEH,MERCU,2DSD,1787
BOAT,TAHOE,BOAT,1767
VEH,LEXUS,CONV,1767
BOAT,MAKO,BOAT,1719
TRL,CHANG,LTRL,1708
VEH,BUICK,CONV,1698
TRL,COUGA,H/TR,1692
BOAT,MONTE,BOAT,1668
TRL,BI/TE,LTRL,1661
BOAT,DURAN,BOAT,1658
VEH,HONDA,SEDN,1653
VEH,SAAB,SUBN,1649
TRL,FEATH,TRLR,1644
VEH,VOLVO,CONV,1633
VEH,MAZDA,PICK,1621
BOAT,HOMEM,BOAT,1614
TRL,BRIMA,TRLR,1612
TRL,MORIT,TRLR,1599
TRL,EZ/LO,TRLR,1596
VEH,CHEVR,STAK,1591
VEH,STERL,DUMP,1588
TRL,HOMES,TRLR,1586
BOAT,FORMU,BOAT,1582
TRL,BWISE,TRLR,1572
TRL,AM/HA,TRLR,1564
VEH,JO/DE,P/SH,1558
TRL,CUSTO,TRLR,1557
VEH,MAZDA,2DSD,1555
TRL,CO/PR,TRLR,1526
BOAT,PARKE,BOAT,1514
BOAT,CATAL,BOAT,1497
VEH,WE/ST,DUMP,1488
BOAT,HARRI,BOAT,1479
TRL,EAST,SEMI,1463
VEH,TRIUM,CONV,1457
TRL,SP/HA,LTRL,1456
VEH,JEEP,2DSD,1450
TRL,HO/MA,LTRL,1422
TRL,FLAGS,H/TR,1415
VEH,CHRYS,2DSD,1415
TRL,CA/SU,TRLR,1408
TRL,TRAIL,SEMI,1408
TRL,GRIFF,TRLR,1405
BOAT,MIRRO,BOAT,1399
TRL,HAULI,LTRL,1397
VEH,STARC,SUBN,1397
VEH,CHEVR,FLAT,1394
VEH,ISUZU,UTIL,1393
VEH,PLYMO,4DSD,1389
TRL,CALKI,LTRL,1388
VEH,FREIG,FLAT,1378
TRL,YA/CL,TRLR,1376
TRL,US/CA,TRLR,1376
VEH,INTER,STAK,1362
BOAT,BAJA,BOAT,1361
TRL,WILDW,H/TR,1360
TRL,HUDSO,TRLR,1355
VEH,RAM,DUMP,1355
VEH,JAGUA,2DSD,1351
TRL,STEAL,TRLR,1346
BOAT,RANGE,BOAT,1338
VEH,BOMBA,ATV,1337
VEH,FREIG,TANK,1327
VEH,THOMA,SUBN,1321
VEH,INTER,BUS,1317
VEH,HONDA,CONV,1306
TRL,CA/ON,TRLR,1304
VEH,ISUZU,DUMP,1301
TRL,LOOK,TRLR,1297
VEH,MASER,SUBN,1288
BOAT,ROBAL,BOAT,1283
VEH,VOLVO,DUMP,1282
VEH,MITSU,CONV,1277
SNOW,SKIDO,SNOW,1266
TRL,COLEM,H/TR,1259
BOAT,SEARA,BOAT,1253
TRL,ROCKW,TRLR,1253
VEH,FERRA,CONV,1251
TRL,APPAL,TRLR,1247
TRL,YONGQ,LTRL,1243
TRL,HAULM,LTRL,1242
VEH,CA/AM,MCY,1238
TRL,CARGO,TRLR,1233
TRL,QUALI,LTRL,1229
TRL,BLIZZ,TRLR,1228
VEH,FERRA,2DSD,1223
VEH,COLLI,BUS,1223
VEH,WE/ST,TRAC,1221
VEH,LINCO,2DSD,1218
BOAT,MI/CR,BOAT,1212
TRL,WORTH,LTRL,1203
VEH,SUBAR,2DSD,1202
TRL,DOOLI,LTRL,1198
TRL,QU/ST,TRLR,1195
TRL,EAGLE,H/TR,1186
BOAT,PROLI,BOAT,1185
VEH,MITSU,DUMP,1173
VEH,CHEVR,SEDN,1166
TRL,TWF,LTRL,1158
VEH,THOR,H/WH,1158
VEH,COACH,H/WH,1156
VEH,KYMCO,ATV,1155
TRL,DOOLI,TRLR,1154
TRL,NUWAY,LTRL,1144
VEH,FORD,AMBU,1135
VEH,NISSA,TAXI,1129
VEH,VOLVO,2DSD,1128
VEH,GMC,FLAT,1121
VEH,NOVA,BUS,1119
TRL,CROSS,TRLR,1118
BOAT,SILVE,BOAT,1112
VEH,MCI,BUS,1112
BOAT,AQUAS,BOAT,1102
VEH,OLDSM,CONV,1095
BOAT,SEASW,BOAT,1094
VEH,SSR,ATV,1091
BOAT,ZODIA,BOAT,1089
VEH,SATUR,2DSD,1088
TRL,BELMO,TRLR,1087
TRL,PEQUE,TRLR,1081
TRL,SH/LA,TRLR,1079
BOAT,CO/CR,BOAT,1077
VEH,HYUND,SEDN,1075
TRL,PERFO,LTRL,1072
TRL,TRITO,TRLR,1064
VEH,GMC,DELV,1064
TRL,FONTA,SEMI,1058
VEH,KIA,2DSD,1054
VEH,DODGE,DUMP,1054
TRL,REFLE,H/TR,1047
TRL,COX,LTRL,1045
TRL,KRIST,TRLR,1045
VEH,KENWO,TANK,1042
TRL,HEIL,SEMI,1040
TRL,MANAC,SEMI,1038
BOAT,KE/WE,BOAT,1036
VEH,ISUZU,SUBN,1034
TRL,HOLSC,LTRL,1034
VEH,STARC,BUS,1023
TRL,LOADR,LTRL,1022
TRL,FREED,TRLR,1016
TRL,REISE,TRLR,1014
BOAT,CARVE,BOAT,1008
VEH,TRANS,SUBN,1007
VEH,KYMCO,MCY,1007
VEH,OLDSM,SUBN,1000
VEH,TOYOT,SEDN,998
TRL,OTHER,LTRL,997
TRL,HOMES,LTRL,994
TRL,IMAGI,H/TR,986
TRL,SALEM,H/TR,969
TRL,TR/ST,LTRL,964
BOAT,COLEM,BOAT,953
TRL,AVENG,H/TR,946
BOAT,COBIA,BOAT,945
TRL,YACHT,LTRL,943
TRL,SN/BE,LTRL,940
TRL,SURET,TRLR,936
TRL,PROWL,H/TR,934
VEH,GILLI,BUS,933
TRL,COACH,H/TR,931
VEH,INTER,TOW,930
VEH,PLYMO,SUBN,927
TRL,FO/WI,LTRL,926
TRL,HE/HA,TRLR,921
TRL,KRIST,LTRL,920
TRL,DI/CA,TRLR,919
BOAT,HURRI,BOAT,919
BOAT,PURSU,BOAT,914
BOAT,ODAY,BOAT,914
TRL,FRUEH,SEMI,913
VEH,HONDA,MOPD,912
BOAT,ACHIL,BOAT,912
VEH,FORD,SEDN,908
VEH,MITSU,DELV,907
TRL,ECONO,TRLR,907
VEH,BUELL,MCY,906
BOAT,CENTU,BOAT,905
VEH,NISSA,SEDN,898
VEH,GMC,BUS,897
TRL,SEALI,LTRL,893
TRL,HE/HA,LTRL,893
TRL,HIDEO,H/TR,890
TRL,VANGU,SEMI,888
VEH,GMC,STAK,886
VEH,CHEVR,H/WH,881
BOAT,AVALO,BOAT,880
VEH,NISSA,CONV,877
TRL,RO/RI,LTRL,873
TRL,EAGLE,TRLR,872
TRL,PA/AM,TRLR,867
VEH,MACK,TANK,867
VEH,WORKH,VAN,866
TRL,STAR,LTRL,866
VEH,CHEVR,DELV,863
VEH,PIAGG,MCY,861
VEH,PETER,TANK,858
VEH,MITSU,VAN,858
BOAT,CRUIS,BOAT,843
VEH,PREVO,BUS,840
VEH,SATUR,CONV,836
TRL,FELLI,TRLR,832
TRL,JA/FE,H/TR,832
TRL,EA/BE,TRLR,831
TRL,MAXUM,TRLR,831
BOAT,SMOKE,BOAT,830
TRL,INTER,LTRL,829
TRL,CA/EX,TRLR,826
VEH,ISUZU,REFG,822
TRL,KEYST,H/TR,821
TRL,EBY,TRLR,820
TRL,GATOR,LTRL,820
TRL,JAYCO,TRLR,817
BOAT,FISHE,BOAT,814
BOAT,MERCU,BOAT,814
TRL,ROYAL,TRLR,813
VEH,KENWO,FLAT,812
TRL,COLEM,LTRL,808
TRL,SHORE,TRLR,804
TRL,UHAUL,TRLR,801
TRL,WE/CA,LTRL,798
BOAT,PREMI,BOAT,795
BOAT,SUNBI,BOAT,794
BOAT,GODFR,BOAT,793
TRL,QU/ST,LTRL,789
VEH,AL/RO,CONV,783
BOAT,CA/SK,BOAT,781
VEH,BMW,SEDN,781
VEH,DATSU,2DSD,779
TRL,JAYFE,H/TR,779
BOAT,PRINC,BOAT,779
BOAT,SE/KI,BOAT,774
TRL,CARMA,TRLR,772
TRL,MA/TO,LTRL,772
VEH,HINO,FLAT,769
TRL,PASSP,H/TR,769
BOAT,ANGLE,BOAT,763
VEH,MO/GU,MCY,758
TRL,STARC,TRLR,749
VEH,BLUEB,BUS,744
BOAT,MEYER,BOAT,743
VEH,JO/DE,RBM,740
VEH,VOLKS,SEDN,736
TRL,CARGO,LTRL,732
TRL,TOWMA,TRLR,731
TRL,MISSI,LTRL,729
VEH,ME/BE,SEDN,728
BOAT,SE/HU,BOAT,726
BOAT,GIII,BOAT,724
TRL,MASTE,LTRL,719
BOAT,GRADY,BOAT,719
BOAT,THOMP,BOAT,718
VEH,DODGE,CONV,714
BOAT,BOSTO,BOAT,714
TRL,ATLAS,TRLR,714
TRL,MONTA,H/TR,712
VEH,MI/FU,DELV,708
TRL,DORSE,SEMI,706
BOAT,AL/CR,BOAT,702
BOAT,SUNTR,BOAT,701
TRL,LIGHT,TRLR,700
VEH,KENWO,UTIL,698
TRL,OUTBA,H/TR,697
BOAT,WE/MA,BOAT,696
